Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
Treasure Island,Robert Louis Stevenson,"While going through the possessions of a deceased guest who owed them money, the mistress of the inn and her son find a treasure map that leads them to a pirate's fortune.",Adventure,2004,276,en,5,http://books.google.co.in/books?id=Oi9vfDvIuBUC&printsec=frontcover&dq=subject:adventure&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=Oi9vfDvIuBUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Adventures of Tom Sawyer,Mark Twain,"""It's a lazy Mississippi River town, a place where a boy can learn magical cures for warts, turn a fence-painting job into a leisurely con game, get lost in a cave, escape to an island, or attend his own funeral. It's a time when hooky is punished with a simple swatting and pockets bulge with firecrackers and dead rats; a time when graves are dug up, and boys are fearful of murderous Injuns, when treasures are found, and hearts are won; a time when a prank can lead to a hero's world. It's a fantasy world, this world of Tom Sawyer--a tribute to boyhood, a chance to dream of idle days or skip off on high adventure. It's a warm and scary and funny and unforgettable experience""--Page 4 of cover.",Adventure,1965,230,en,No rating,http://books.google.co.in/books?id=0S_uAAAAMAAJ&dq=subject:adventure&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=0S_uAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Robinson Crusoe,"Daniel Defoe, Anthony Masters","Following a terrible storm, Crusoe finds himself stranded alone on a desert island off the coast of South America, all of his companions from his ship dead. Over the next 27 years, he builds a life for himself on the island, but is terribly lonely until he saves a Native American, who Crusoe calls Friday, from certain death at the hands of cannibal captors. The two men become friends, and eventually work together to save an English ship whose crew has mutinied. When Crusoe and Friday thwart the mutineers, the captain of the ship takes Crusoe home to England, with Friday as a loyal companion. Text Type: Classic FictionTheme/Topic: Human History, Connections with Native People",Fiction,2014,100,en,No rating,http://books.google.co.in/books?id=tMbCQ7CM9wAC&dq=subject:adventure&hl=&cd=3&source=gbs_api,http://books.google.com/books/content?id=tMbCQ7CM9wAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
White Fang,Jack London,"Follows the half dog, half wolf, White Fang, as he is forced to endure a series of harsh environments that turn him from youthful innocence to mad-dog cruelty.",Alaska,1906,326,en,No rating,http://books.google.co.in/books?id=OGgYAAAAYAAJ&printsec=frontcover&dq=subject:adventure&hl=&cd=4&source=gbs_api,http://books.google.com/books/content?id=OGgYAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Fantastic Mr. Fox,Roald Dahl,The adventures of Mr. Fox and three mean farmers who want to destroy the fox and his family.,Juvenile Fiction,1998,98,en,4,http://books.google.co.in/books?id=inZhHuo89T8C&dq=subject:adventure&hl=&cd=5&source=gbs_api,http://books.google.com/books/content?id=inZhHuo89T8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,"When Harry and his best friends go back for their third year at Hogwarts, the atmosphere is tense. There's an escaped mass-murderer on the loose and the sinister prison guards of Azkaban have been called in to guard the school. Lessons, however, must go on and there are lots of new subjects in third year - Care of Magical Creatures and Divination among others - to take Harry's mind off things!",Adventure,1999,317,en,4.5,http://books.google.co.in/books?id=nfRhQgAACAAJ&dq=subject:adventure&hl=&cd=6&source=gbs_api,http://books.google.com/books/content?id=nfRhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
River Boy,Tim Bowler,"A new mass-market edition of this Carnegie Medal-winner. One of the classic teenage novels of the nineties, ""River Boy"" is an emotional, moving book which has had a profound influence on its readers. Following the story of Jess's dying grandfather, and the marathon river swim Jess becomes caught up in, it uses poetic and surreal images of water andswimming to deal with the difficult subjects of death and loss in an accessible and affecting way. * Winner of the Carnegie Medal and the Angus Book Prize * A moving poetic exploration of grief and loss. * Internationally successful - foreign rights have so far been sold to America, Denmark, Sweden, Germany, Belgium, Italy, Poland and Portugal. A film option has been agreed. * New cover treatment to match Tim Bowler's wonderful new novel, ""Storm Catchers"". * Author was born and brought up in Leigh-on-Sea, Essex, and now lives in Totnes, Devon.",Fiction,2001,150,en,4.5,http://books.google.co.in/books?id=w6lrc-9EapgC&printsec=frontcover&dq=subject:adventure&hl=&cd=7&source=gbs_api,http://books.google.com/books/content?id=w6lrc-9EapgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Ironwood Tree,"Tony DiTerlizzi, Holly Black",OLS-N conf. May/04.,Juvenile Fiction,2004-04,140,en,4.5,http://books.google.co.in/books?id=dhtB6wh57roC&printsec=frontcover&dq=subject:adventure&hl=&cd=8&source=gbs_api,http://books.google.com/books/content?id=dhtB6wh57roC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Harry Potter and the Chamber of Secrets,J. K. Rowling,"Sequel to Harry Potter and the sorcerer's stone. When the chamber of secrets is opened again at the Hogswart School for witchcraft and wizardry, second-year student Harry Potter finds himself in danger from a dark power that has once more been released on the school.",Adventure,1998,251,en,No rating,http://books.google.co.in/books?id=bUMUvgAACAAJ&dq=subject:adventure&hl=&cd=9&source=gbs_api,http://books.google.com/books/content?id=bUMUvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Emil and the Detectives,"Cyrus Harry Brooks, Erich Kästner","On his way to Berlin to visit his grandmother Emil fell asleep and had his money stolen by the man who shared his compartment. Although he came from the country Emil was not stupid, and he determined to get that money back. He followed the man, met the boy with the auto horn, who summoned his friends, and among them all they caught a very clever thief.",Adventure,1933,230,en,No rating,http://books.google.co.in/books?id=oLkNAQAAIAAJ&dq=subject:adventure&hl=&cd=10&source=gbs_api,http://books.google.com/books/content?id=oLkNAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Robinson Crusoe,Daniel Defoe,No description available,Adventure,2004,256,en,No rating,http://books.google.co.in/books?id=Nj5fPgAACAAJ&dq=subject:adventure&hl=&cd=11&source=gbs_api,No thumbnail available
The Wizard of Oz,Lyman Frank Baum,"The Pearson Education Library Collection offers you over 1200 fiction, nonfiction, classic, adapted classic, illustrated classic, short stories, biographies, special anthologies, atlases, visual dictionaries, history trade, animal, sports titles and more",Juvenile Fiction,1956,252,en,No rating,http://books.google.co.in/books?id=kSTql-520p8C&dq=subject:adventure&hl=&cd=12&source=gbs_api,http://books.google.com/books/content?id=kSTql-520p8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
White Fang and The Call of the Wild,Jack London,No description available,Fiction,1996-08,320,en,No rating,http://books.google.co.in/books?id=VILtWzdXT7YC&dq=subject:adventure&hl=&cd=13&source=gbs_api,http://books.google.com/books/content?id=VILtWzdXT7YC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Magician's Nephew,Clive Staples Lewis,"This edition of Lewis's classic fantasy fiction is packaged specifically for adults. Complementing the look of the author's non-fiction books, and anticipating the forthcoming Narnia feature films, this edition contains an exclusive P.S. section about the history of the book, plus a sample chapter from its sequel.",Fiction,2005,274,en,No rating,http://books.google.co.in/books?id=CYaox8YG3RQC&dq=subject:adventure&hl=&cd=14&source=gbs_api,http://books.google.com/books/content?id=CYaox8YG3RQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Boy in the Striped Pyjamas,John Boyne,"Berlin 1942. When Bruno returns home from school one day, he discovers that his belongings are being packed in crates. His father has received a promotion and the family must move from their home to a new house far far away, where there is no one to play with and nothing to do. A tall fence running alongside stretches as far as the eye can see and cuts him off from the strange people he can see in the distance. But Bruno longs to be an explorer and decides that there must be more to this desolate new place than meets the eye. While exploring his new environment, he meets another boy whose life and circumstances are very different to his own, and their meeting results in a friendship that has devastating consequences.",Foreign Language Study,2007,0,en,4.5,http://books.google.co.in/books?id=6cakAAAACAAJ&dq=subject:adventure&hl=&cd=15&source=gbs_api,http://books.google.com/books/content?id=6cakAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Secret Seven Mystery,Enid Blyton,No description available,Children's stories,1992,102,en,No rating,http://books.google.co.in/books?id=VhHJPwAACAAJ&dq=subject:adventure&hl=&cd=16&source=gbs_api,http://books.google.com/books/content?id=VhHJPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Swiss Family Robinson,Johann David Wyss,No description available,Adventure,1994,192,en,No rating,http://books.google.co.in/books?id=2v8uAAAACAAJ&dq=subject:adventure&hl=&cd=17&source=gbs_api,http://books.google.com/books/content?id=2v8uAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The World of Pooh Collection,Alan Alexander Milne,"The story of Winnie-the-Pooh and his friends Piglet, Christopher Robin, Piglet, Rabbit and Owl, Kanga and Roo - not forgetting Eeyore - and their adventures in the Hundred Acre Wood.","Children's stories, English",2000,144,en,No rating,http://books.google.co.in/books?id=lkCOtwEACAAJ&dq=subject:adventure&hl=&cd=18&source=gbs_api,No thumbnail available
Jungle Book,Rudyard Kipling,No description available,Adventure,No date available,No page count available,en,No rating,http://books.google.co.in/books?id=JCIovQEACAAJ&dq=subject:adventure&hl=&cd=20&source=gbs_api,No thumbnail available
"Look Out, Secret Seven",Enid Blyton,"Solve the mystery with the Secret Seven - everyone's favourite detective club! These timeless stories are perfect for young fans of mystery, adventure or detective series. In book fourteen, Scamper the spaniel discovers an unwanted visitor, then he protects the Secret Seven as they spy on a thief late at night in Bramley Woods! What on earth would the Secret Seven do without their dog? Solve the mystery! Cover and inside illustrations are by the brilliant Tony Ross, illustrator of David Walliams's books. The story was first published in 1962. This edition features the classic text and comes with a Bonus Blyton section at the back with quizzes, puzzles and other bonus extras! Have you read all 15 books in the original Secret Seven series by Enid Blyton? And don't miss these other Secret Seven titles... Mystery of the Skull - a brand-new Secret Seven mystery by prizewinning author Pamela Butchart. Secret Seven Brain Games - a fun and tricky puzzle book *** The Secret Seven ®, Enid Blyton® and Enid Blyton's signature are registered trade marks of Hodder & Stoughton Limited. No trade mark or copyrighted material may be reproduced without the express written permission of the trade mark and copyright owner.",Adventure,2013,0,en,No rating,http://books.google.co.in/books?id=XzKZkwEACAAJ&dq=subject:adventure&hl=&cd=21&source=gbs_api,http://books.google.com/books/content?id=XzKZkwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
