Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
Pride and Prejudice,Jane Austen,The text of Pride and Prejudice is the 1813 first edition text.,Fiction,1980,388,en,No rating,http://books.google.co.in/books?id=EvqJCGeqKhsC&dq=subject:romance&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=EvqJCGeqKhsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Dare to Love,Carly Phillips,"She arouses his dominant and protective instincts And he will do anything to possess her … And does. When billionaire Ian Dare gets one glimpse of the sensual and irresistible Riley Taylor, he knows that he must have her. But any future he might have with Riley means he’ll have to confront his past—a past he’d rather forget. And that’s something this NFL team owner won’t dare to do—not even for love.",Fiction,2013-11-18,256,en,4.5,http://books.google.co.in/books?id=ugbmAgAAQBAJ&printsec=frontcover&dq=subject:romance&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=ugbmAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Sons and Lovers,David Herbert Lawrence,A provocative portrait of an artist torn between love for his possessive mother and desire for two young beautiful women. It is also the story of Paul Morel's growing into manhood torn by both inner and outer conflict.,Fiction,1913,534,en,No rating,http://books.google.co.in/books?id=t34OAAAAIAAJ&dq=subject:romance&hl=&cd=3&source=gbs_api,http://books.google.com/books/content?id=t34OAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Love Only Once,Johanna Lindsey,"Kidnapped and seduced by the handsome Nicholas Eden, lovely Regina Ashton falls for her captor, but scandal, danger, and tragic misunderstandings threaten their relationship, in a tale of Regency England.",England,1985,452,en,5,http://books.google.co.in/books?id=w4b-I_NSgXYC&dq=subject:romance&hl=&cd=4&source=gbs_api,http://books.google.com/books/content?id=w4b-I_NSgXYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Spirit Bound,Richelle Mead,"The international number 1 bestselling Vampire Academy series by Richelle Mead is now a major motion picture. Read it before it hits cinemas in 2014! SALVATION HAS ITS PRICE . . . Fall in love with Rose and Dimitri all over again in Spirit Bound, the anticipated fifth novel in Richelle Mead's enthralling Vampire Academy series. After a long and heartbreaking journey to Siberia, Dimitri's birthplace, Rose Hathaway has finally returned to St. Vladimir's - and to her best friend, Lissa Dragomir. It's graduation, and the girls can't wait for their real lives outside the Academy's cold iron gates to finally begin. But even with the intrigue and excitement of court life looming, Rose's heart still aches for Dimitri. He's out there, somewhere. She failed to kill him when she had the chance, and now her worst fears are about to come true. Dimitri has tasted her blood, and she knows in her heart that he is hunting her. And if Rose won't join him, he won't rest until he has silenced her . . . forever. But Rose can't forget what she learned on her journey - whispers of a magic too impossible and terrifying to comprehend. A magic inextricably tied to Lissa that could hold the answer to all of Rose's prayers, but not without devastating consequences. Now Rose will have to decide what - and who - matters most to her. And in the end, is true love really worth the price? penguinteenaustralia.com",Boarding school students,2010,489,en,4.5,http://books.google.co.in/books?id=-a-YQwAACAAJ&dq=subject:romance&hl=&cd=6&source=gbs_api,http://books.google.com/books/content?id=-a-YQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Simple Gifts,"Judith McNaught, Jude Deveraux",4 Heartwarming Christmas Stories.,Fiction,2001-12,404,en,No rating,http://books.google.co.in/books?id=_y8kwT-j3sUC&printsec=frontcover&dq=subject:romance&hl=&cd=7&source=gbs_api,http://books.google.com/books/content?id=_y8kwT-j3sUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Last Sacrifice,Richelle Mead,The final heart wrenching episode at St Vladimir's Academy. Rose is on trial for high treason and the death of Queen Tatiana. Someone is trying to frame her and it looks like even Dimitri might not be able to save her now.,Juvenile Fiction,2010,556,en,No rating,http://books.google.co.in/books?id=Rwcpd5zqrrkC&dq=subject:romance&hl=&cd=8&source=gbs_api,http://books.google.com/books/content?id=Rwcpd5zqrrkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Viscount Who Loved Me,Julia Quinn,"# 1 New York Times Bestseller The inspiration for season two of BRIDGERTON, a series created by Shondaland for Netflix, from #1 New York Times bestselling author Julia Quinn: the story of Anthony Bridgerton in the second of her beloved Regency-set novels featuring the charming, powerful Bridgerton family. ANTHONY'S STORY This time the gossip columnists have it wrong. London's most elusive bachelor Anthony Bridgerton hasn't just decided to marry--he's even chosen a wife! The only obstacle is his intended's older sister, Kate Sheffield--the most meddlesome woman ever to grace a London ballroom. The spirited schemer is driving Anthony mad with her determination to stop the betrothal, but when he closes his eyes at night, Kate's the woman haunting his increasingly erotic dreams... Contrary to popular belief, Kate is quite sure that reformed rakes do not make the best husbands--and Anthony Bridgerton is the most wicked rogue of them all. Kate's determined to protect her sister--but she fears her own heart is vulnerable. And when Anthony's lips touch hers, she's suddenly afraid she might not be able to resist the reprehensible rake herself...",Fiction,2022-05-24,512,en,No rating,http://books.google.co.in/books?id=AiH4zgEACAAJ&dq=subject:romance&hl=&cd=9&source=gbs_api,http://books.google.com/books/content?id=AiH4zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Sense and Sensibility,Jane Austen,Classics with legible texts you can actually read at a fantastic price.,Books and reading,2012-01-31,0,en,No rating,http://books.google.co.in/books?id=Aso0uAAACAAJ&dq=subject:romance&hl=&cd=10&source=gbs_api,http://books.google.com/books/content?id=Aso0uAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Missing Sister,Lucinda Riley,"From Sunday Times No.1 bestselling author Lucinda Riley comes the latest installment in the epic multimillion-selling series, The Seven Sisters. The story of Merope, the missing sister, is waiting to be told . . . Following Georg Hoffman's revelation that he may have found The Missing Sister, Maia and Ally discover that all they have to go on is an address of a vineyard in New Zealand, plus a drawing of an unusual star-shaped emerald ring. Deciding that CeCe, who lives in Australia, is the closest, they send her to investigate with her partner, Chrissie. So begins a race against time to identify the Missing Sister, so she can join her sisters on The Titan to lay a wreath at a spot on the Aegean Sea where Ally last saw Pa Salt's boat. It's a race that takes them across the globe, as Mary McDougal, the woman who has the emerald ring that can confirm for certain if her daughter, Mary-Kate, is the Missing Sister, has embarked on a world tour after the death of her husband. As each sister takes their turn to trace her in New Zealand, Canada, England, France and Ireland, the elusive Mary manages to slip through their fingers, and it seems that she does not want to be found...",Uncategorized,2021-04-29,576,en,No rating,http://books.google.co.in/books?id=7cULzgEACAAJ&dq=subject:romance&hl=&cd=11&source=gbs_api,http://books.google.com/books/content?id=7cULzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
