Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
Dr. Faustus,Christopher Marlowe,"One of Western culture's most enduring myths recounts a learned German doctor's sale of his soul to the devil in exchange for knowledge and power. Elizabethan playwright Christopher Marlowe transformed the Faust legend into the English language's first epic tragedy, a vivid drama that abounds in psychological insights and poetic grandeur.",Drama,1994,65,en,No rating,http://books.google.co.in/books?id=HfGkKordQowC&printsec=frontcover&dq=subject:drama&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=HfGkKordQowC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Reading Greek Tragedy,Simon Goldhill,An advanced critical introduction to Greek tragedy for those who do not read Greek. Combines the best contemporary scholarly analysis of the classics with a wide knowledge of contemporary literary studies in discussing the masterpieces of Athenian drama.,Drama,1986-05-08,322,en,No rating,http://books.google.co.in/books?id=zmQKcdh4i-oC&printsec=frontcover&dq=subject:drama&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=zmQKcdh4i-oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Taming of the Shrew,William Shakespeare,"Can a man tame an ill-tempered woman? Petruchio thinks he is up to the task in The Taming of the Shrew. William Shakespeare (1564 ż 1616) is the most influential writer in English history. Shakespeare has been called The Barb of Avon and Englandżs national poet. There are 2 narrative poems, 154 sonnets and 38 plays in his collected works. He began work as an actor and writer in London first writing comedies and historic plays. He later wrote tragedies. Romeo and Juliet, MacBeth and Othello are some of his more famous plays. The Taming of the Shrew was an early comedy. The play begins with a drunken man who is deceived into thinking he is a nobleman. He then watches this play in which the noble Petruchio married an outspoken ill-tempered woman. Katherine is eventually tamed to the will be Petruchio. The play has been adapted into opera, stage plays and screen plays. Cole Porterżs play Kiss Me Kate is one instance",Drama,2008-07-30,160,en,4.5,http://books.google.co.in/books?id=g3ddydbz6QoC&printsec=frontcover&dq=subject:drama&hl=&cd=3&source=gbs_api,http://books.google.com/books/content?id=g3ddydbz6QoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Iliad (World Classics, Unabridged)",Homer,"The story of the Iliad centers on the critical events in the last year of the Trojan War, which lead to Achilles's killing of Hektor and determine the fate of Troy. But Homer's theme is not simply war or heroism. With compassion and humanity, he presents a universal and tragic view of the world, of human life lived under the shadow of suffering and death, set against a vast and largely unpitying divine background. The Iliad is the first of the great tragedies.",Drama,2016-09-01,406,en,No rating,http://books.google.co.in/books?id=a3LOEAAAQBAJ&printsec=frontcover&dq=subject:drama&hl=&cd=4&source=gbs_api,http://books.google.com/books/content?id=a3LOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Doll's House,Henrik Ibsen,"The classic play about a woman’s fight for independence and her desire to break free of her role as housewife. One of the best-known, most frequently performed modern plays, A Doll’s House richly displays the genius with which Henrik Ibsen pioneered realistic prose drama. The central character, Nora, epitomizes the human struggle against the humiliating constraints of social conformity. Her ultimate rejection of a smothering marriage and life in a “doll’s house” shocked theatergoers of the late nineteenth century and opened new horizons for playwrights and their audiences. However, daring social themes are only one aspect of Ibsen’s power as a dramatist. A Doll’s House demonstrates his ability to create realistic dialogue and a suspenseful flow of events, and bring to life the psychologically penetrating characterizations that make the struggles of his dramatic personages utterly convincing. Here is a deeply absorbing dramatic work as readable as it is eminently playable. This ebook has been professionally proofread to ensure accuracy and readability on all devices.",Drama,2018-01-09,117,en,No rating,http://books.google.co.in/books?id=UuhCDwAAQBAJ&printsec=frontcover&dq=subject:drama&hl=&cd=5&source=gbs_api,http://books.google.com/books/content?id=UuhCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Much Ado about Nothing,William Shakespeare,"Set in a courtly world of masked revels and dances, this play turns on the archetypal story of a lady falsely accused of unfaithfulness, spurned by her bridegroom, and finally vindicated and reunited with him. Villainy, schemes, and deceits threaten to darken the brilliant humor and sparkling wordplay-but the hilarious counterplot of a warring couple, Beatrice and Benedick, steals the scene as the two are finally tricked into admitting their love for each other in Shakespeare's superb comedy of manners. Each Edition Includes: - Comprehensive explanatory notes - Vivid introductions and the most up-to-date scholarship - Clear, modernized spelling and punctuation, enabling contemporary readers to understand the Elizabethan English - Completely updated, detailed bibliographies and performance histories - An interpretive essay on film adaptations of the play, along with an extensive filmography From the Paperback edition.",Drama,2002,308,en,No rating,http://books.google.co.in/books?id=5OxKTAAaYi8C&printsec=frontcover&dq=subject:drama&hl=&cd=6&source=gbs_api,http://books.google.com/books/content?id=5OxKTAAaYi8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Happy Prince,Oscar Wilde,"High above a city on a slender column stands the statue of the happy prince. She is covered with gold leaf, her eyes are sapphires. During his lifetime, the Happy Prince was admired by all people because he was always cheerful. Now, as a statue, he notices the misery of the city. When a little swallow on its way to Egypt settles down at the feet of the prince to sleep, a tear from the eye of the happy prince hits it. The prince tells the swallow about a poor seamstress whose son is sick, and asks her to bring the mother a ruby to help her.... Gröls Classics - English Edition",Drama,2023-01-06,121,en,No rating,http://books.google.co.in/books?id=IMapEAAAQBAJ&printsec=frontcover&dq=subject:drama&hl=&cd=7&source=gbs_api,http://books.google.com/books/content?id=IMapEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Importance of Being Earnest,Oscar Wilde,"Wilde's most popular play is considered his wittiest and finest comedy. The play's subtitle, ""A Trivial Comedy for Serious People"" hints at its clever wordplay, ingenious epigrams, and sly British humor. It is a story of multiple mistaken identities--both deliberate and unintentional- and what ultimately becomes a hilarious exercise in keeping everyone's name and pseudonym straight. First performed in 1895, it has enduring appeal as dramatic literature and in live theatrical performance. This edition includes an appendix with Wilde's earlier versions of the play and deleted scenes that illustrate Wilde's creative process.",Drama,1984,76,en,No rating,http://books.google.co.in/books?id=qTn3n75xxlsC&printsec=frontcover&dq=subject:drama&hl=&cd=8&source=gbs_api,http://books.google.com/books/content?id=qTn3n75xxlsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Othello,William Shakespeare,Modern editions of a popular and trusted series.,Drama,2005-11-17,4,en,No rating,http://books.google.co.in/books?id=CidwsUhJntMC&printsec=frontcover&dq=subject:drama&hl=&cd=9&source=gbs_api,http://books.google.com/books/content?id=CidwsUhJntMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Twelfth Night,William Shakespeare,"Sir Toby Belch and his companion outwit the pretentious Malvolio, who despite suffering their most outrageous and insulting practical jokes, emerges as an almost noble figure.",Brothers and sisters,1992,132,en,No rating,http://books.google.co.in/books?id=br2rKgbQb_gC&printsec=frontcover&dq=subject:drama&hl=&cd=11&source=gbs_api,http://books.google.com/books/content?id=br2rKgbQb_gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Trojan Women,Euripides,"The Trojan Women is a classic tragedy, written by the Greek playwright Euripides in 415 B.C.",Drama,1967,47,en,No rating,http://books.google.co.in/books?id=9RHPDwAAQBAJ&printsec=frontcover&dq=subject:drama&hl=&cd=12&source=gbs_api,http://books.google.com/books/content?id=9RHPDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
