Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
The Da Vinci Code,Dan Brown,"Robert Langdon, Harvard Professor of symbology, receives an urgent late-night call while in Paris: the curator of the Louvre has been murdered. Alongside the body is a series of baffling ciphers. Langdon and a gifted French cryptologist, Sophie Neveu, are stunned to find a trail that leads to the to the works of Da Vinci - and further. The curator, part of a secret society named the Priory of Sion, may have sacrificed his life to keep secret the location of a vastly important religious relic hidden for centuries. It appears that the clandestine Vatican-sanctioned Catholic sect Opus Dei has now made its move. Unless Landon and Neveu can decipher the labyrinthine code and quickly assemble the pieces of the puzzle, the Priory's secret - and a stunning historical truth - will be lost forever.",Fiction,2003,468,en,4.5,http://books.google.co.in/books?id=g40bVuX9wmYC&dq=subject:thriller&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=g40bVuX9wmYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Harbinger,Jonathan Cahn,"An anonymous man has received nine seals from The Prophet, with each seal containing mysterious sayings and prophecies from the Book of Isaiah about America's recent past and possible future destruction.",Fiction,2011,274,en,4.5,http://books.google.co.in/books?id=nt2gYevSZrMC&printsec=frontcover&dq=subject:thriller&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=nt2gYevSZrMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Eleventh Commandment,Jeffrey Archer,"ELEVENTH COMMANDMENT Jeffrey Archer Connor Fitzgerald has an impressive resume. Military hero. Devoted family man. Servant of his country--as an assassin. Just as he's about to put his twenty-eight-year career at the CIA behind him, he comes up against the most dangerous enemy he's ever faced: His own boss, Helen Dexter."""" As Director of the CIA, Dexter has always been the one to hold the strings. But when her status is threatened by a greater power, her only hope for survival is to destroy Fitzgerald. Meanwhile, the country braces itself as tensions with a new Russian leader reach the boiling point...and it's up to Fitzgerald to pull off his most daring mission yet: To save the world. Even if that means risking everything--including his own life--in the process.",Adventure stories,1998,360,en,3.5,http://books.google.co.in/books?id=yRSoAAAAIAAJ&dq=subject:thriller&hl=&cd=4&source=gbs_api,http://books.google.com/books/content?id=yRSoAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
He Will Be My Ruin,K.A. Tucker,"K.A. Tucker makes her suspense debut with this sexy, heart pounding story of a young woman determined to find justice after her best friend's death.",Fiction,2016-02-02,352,en,No rating,http://books.google.co.in/books?id=LlV2CwAAQBAJ&printsec=frontcover&dq=subject:thriller&hl=&cd=5&source=gbs_api,http://books.google.com/books/content?id=LlV2CwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Testament,John Grisham,"A suicidal billionaire, a burnt-out Washington litigator, and a woman who has forsaken technology to work in the wilds of Brazil are all brought together by an astounding mystery of the testament.",Fiction,1999-02-02,452,en,No rating,http://books.google.co.in/books?id=Nq5aAAAAMAAJ&dq=subject:thriller&hl=&cd=6&source=gbs_api,http://books.google.com/books/content?id=Nq5aAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The St. Zita Society,Ruth Rendell,From three-time Edgar Award-winning mystery writer Ruth Rendell comes a captivating and expertly plotted tale of residents and servants on one block of a posh London street--and the deadly ways their lives intertwine.,Fiction,2012-08-14,264,en,No rating,http://books.google.co.in/books?id=L83TtpJ57-wC&printsec=frontcover&dq=subject:thriller&hl=&cd=7&source=gbs_api,http://books.google.com/books/content?id=L83TtpJ57-wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Shadow of the Wind,Carlos Ruiz Zafón,"It is 1945 and Barcelona is enduring the long aftermath of civil war when Daniel Sempere's bookseller father decides his son is old enough to visit the secret Cemetery of Forgotten Books. There Daniel must adopt a single book, promising to care for it and keep it alive always. His choice falls on The Shadow of the Wind. Bewitched, he embarks on an epic quest to find the truth about Julian Carax, the book's mysterious author. Soon Daniel is consumed by strange discoveries about love and obsession, art and life, and how they become entangled within the shadow world of books. The Shadow of the Wind is a mesmerising love story and literary thriller, which twists and turns and enthrals with its cast of vengeful souls, threatening spectres and innocent hearts.",Barcelona (Spain),2004,521,en,No rating,http://books.google.co.in/books?id=yoUFRQAACAAJ&dq=subject:thriller&hl=&cd=8&source=gbs_api,http://books.google.com/books/content?id=yoUFRQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Casino Royale,"Ian FLEMING, David (read by) RINTOUL",No description available,Uncategorized,1988,No page count available,en,No rating,http://books.google.co.in/books?id=Vt8unQEACAAJ&dq=subject:thriller&hl=&cd=9&source=gbs_api,No thumbnail available
Crazy Gran,Gary Botting,"Amy’s Uncle Al and her mother Ariel both seem to have insider knowledge that something terrible is going to happen in Manhattan on September 11, 2001. Thousands heeded Ariel’s warning in The Chrislamic Messenger to flee New York City. But how did they know? The military believes Amy’s father is somehow behind 9/11, even though he is supposedly dead and buried. As a weapons technologist, he was custodian of two Mark 53 nuclear bombs that were jettisoned by a failing B-52 over Champlain Lake at the same time he went missing in 1978. Now, years later, he seems to have come back from the dead. Only Amy can stop her uncle from executing her father’s plan to detonate one of the massive bombs inside a uranium mine in the Adirondacks, causing a cataclysmic chain reaction that would create a sixth Great Lake and precipitate evacuation of the Eastern seaboard. Uncle Al is intent on stopping Amy from alerting authorities, by supplying her Chrislamic mother with evidence that although Amy swears she is a virgin, she and her cousin Ron have been indulging in “fornication.” According to Sharia law and Deuteronomy 13, Amy must be stoned to death. As Uncle Al prepares to detonate the dirtiest bomb in history, Ron attempts to stop Amy’s stoning before New York State blows sky high.",Fiction,2015-12-10,356,en,No rating,http://books.google.co.in/books?id=9UVGCwAAQBAJ&printsec=frontcover&dq=subject:thriller&hl=&cd=10&source=gbs_api,http://books.google.com/books/content?id=9UVGCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Brother Odd,Dean Koontz,"Leaving the small desert town where he has spent his life, Odd Thomas, a hero who lives between the living and the dead, seeks the solitude of an isolated monastery, but he soon finds himself confronting a killer stalking his sanctuary's halls. -- Novelist.",Fiction,2007-10-30,468,en,No rating,http://books.google.co.in/books?id=naghRvxjrfIC&dq=subject:thriller&hl=&cd=11&source=gbs_api,http://books.google.com/books/content?id=naghRvxjrfIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
